id,text_snippet,labels
76,CompetitorY offers better features at a lower price.,Security
77,Do you offer any discounts for early renewals?,Security
78,We need detailed documentation for compliance purposes.,Pricing Discussion
79,Our compliance team is worried about data handling. Are you SOC2 certified?,Security
80,Our budget constraints limit us from upgrading.,Security
81,We are concerned about compliance with GDPR regulations.,"Competition, Features"
82,We need detailed documentation for compliance purposes.,Pricing Discussion
83,Is your platform compliant with industry standards like HIPAA?,"Competition, Objection"
84,CompetitorY's analytics has better integration with third-party tools.,"Competition, Objection"
85,Our compliance team is worried about data handling. Are you SOC2 certified?,Pricing Discussion
86,CompetitorY's analytics has better integration with third-party tools.,"Competition, Features"
87,The pricing model is not flexible for startups.,Security
88,CompetitorX's customer service is much better.,"Competition, Objection"
89,Do you offer any discounts for early renewals?,Pricing Discussion
90,CompetitorY offers better features at a lower price.,"Pricing Discussion, Objection"
91,Do you offer any discounts for early renewals?,"Pricing Discussion, Objection"
92,We are happy with the data pipeline performance.,Security
93,The pricing model is not flexible for startups.,Security
94,Our data pipeline needs better performance metrics.,"Competition, Features"
95,CompetitorY's analytics has better integration with third-party tools.,"Features, Pricing Discussion, Objection"
96,We need detailed documentation for compliance purposes.,"Positive, Pricing Discussion"
97,How secure is your platform for sensitive data?,Pricing Discussion
98,Is your platform compliant with industry standards like HIPAA?,"Positive, Features"
99,Do you offer any discounts for early renewals?,Pricing Discussion
100,Can you provide a demo of the AI engine?,Security
